Year,Month,Day,Hour,Measured Power,NWP Radiation,NWP Rainfall,NWP Temperature,NWP Pressure,NWP Windspeed,Measured Radiation
2019,7,3,0,0,0,0.00320000000000009,299.06,1005.9,3.91986767251141,0
2019,7,3,1,0,0,0.00320000000000009,299.04,1005.4,2.9923808881892,0
2019,7,3,2,0,0,0.000499999999999945,299.11,1005.2,3.95397742164773,0
2019,7,3,3,0,0,0,299.04,1005.7,2.89463020781584,0
2019,7,3,4,0,0,0,298.3,1006.1,0.809420226149557,0
2019,7,3,5,0,0,0.094323,298.49,1005.9,3.01039543955607,0
2019,7,3,6,2.8600001335144,15.879,5.054877,298.52,1008.4,5.02860975897912,18
2019,7,3,7,17.1100006103515,16.136,3.1993,298.52,1009.5,6.90369399111085,99
2019,7,3,8,23.5100002288818,18.03,5.7645,298.83,1009.7,6.6017505027076,132
2019,7,3,9,36.0699996948242,191.12,1.7331,299.08,1009.5,5.00664001502005,212
2019,7,3,10,14.6599998474121,240.63,0.3773,300.12,1009,4.55128916462138,78
2019,7,3,11,19.3799991607666,364.76,5.1254,299.14,1009.8,8.32074114787859,112
2019,7,3,12,13.4099998474121,39.002,9.9902,298.55,1009.3,4.73860621141913,77
2019,7,3,13,40.1399993896484,186.19,0.274000000000001,299.56,1008.2,2.76849741404972,244
2019,7,3,14,29.4899997711181,729.82,0,303.36,1007.5,4.86393567083283,163
2019,7,3,15,40.1699981689453,214.27,0.0035125,301.99,1008.7,4.50262132762683,250
2019,7,3,16,40.6399993896484,190.51,0.1519175,300.82,1008.8,4.67922019678493,249
2019,7,3,17,24.7700004577636,188.34,0.08915,299.34,1008.7,7.13289439484597,147
2019,7,3,18,5.90000009536743,30.978,0.24147,298.47,1009.5,5.92801928471897,38
2019,7,3,19,0.20499999821186,0,0,298.44,1009.6,3.96654090739022,0
2019,7,3,20,0,0,0,298.56,1009,2.54408090476698,0
2019,7,3,21,0,0,0,298.97,1010,2.04892995869185,0
2019,7,3,22,0,0,0,299.28,1010.5,4.26514440201032,0
2019,7,3,23,0,0,0,299.28,1009.6,3.81581390899766,0
2019,7,4,0,0,0,0,298.89,1009.7,1.97447562495058,0
2019,7,4,1,0,0,0,298.49,1009.3,2.43514422622152,0
2019,7,4,2,0,0,0,298.78,1009.2,3.26167948799388,0
2019,7,4,3,0,0,0,297.5,1009.3,2.34560317402582,0
2019,7,4,4,0,0,0,297.58,1010,2.4833635803885,0
2019,7,4,5,0,0,0,297.06,1009.5,1.89259026535064,0
2019,7,4,6,5.36999988555908,31.717,0,297.88,1010.1,2.12892858332542,35
2019,7,4,7,25.1200008392334,253,0,301.19,1011.2,3.58309024173269,183
2019,7,4,8,58.4200019836425,435.88,0,302.91,1010.5,5.36740910030156,427
2019,7,4,9,80.7200012207031,277.64,0,303.96,1009.8,4.51454999972312,594
2019,7,4,10,124.639999389648,457.53,0,304.27,1009.8,5.64258072162021,901
2019,7,4,11,85.3499984741211,432.19,0,304.01,1009.7,5.53986352990757,575
2019,7,4,12,43.2600021362304,503.14,0,304.27,1009.5,5.07186567053979,247
2019,7,4,13,13.6499996185302,665.08,0,305,1009,5.65918247541109,76
2019,7,4,14,29.8999996185302,728.95,0.0000375,304.53,1008.4,5.93152804005848,172
2019,7,4,15,34.7599983215331,306.87,0,304.2,1008.4,5.93376321822838,207
2019,7,4,16,38.9399986267089,208.27,0,303.08,1008.3,5.48663884359086,230
2019,7,4,17,19.3400001525878,191.19,0,303.2,1008,4.77064833539426,115
2019,7,4,18,6.9099998474121,122.59,0,303.05,1008.2,4.31455017817617,39
2019,7,4,19,0.24499998986721,0,0,302.48,1008,2.98570443515429,0
2019,7,4,20,0,0,0,301.94,1008,2.40742651185867,0
2019,7,4,21,0,0,0,303.01,1008.2,2.44187927590616,0
2019,7,4,22,0,0,0,302.34,1008.2,2.54877595965201,0
2019,7,4,23,0,0,0,301.71,1008.4,2.43949660987672,0
2019,7,5,0,0,0,0,301.34,1008.4,3.10821553332455,0
2019,7,5,1,0,0,0,300.7,1008,3.14108774953662,0
2019,7,5,2,0,0,0,300.4,1007.9,3.06244562350093,0
2019,7,5,3,0,0,0,301.51,1007.4,2.96073383471058,0
2019,7,5,4,0,0,0,300.64,1007,2.80805393566434,0
2019,7,5,5,0,0,0,300.18,1007,2.38102297628561,0
